@relation audlt_scrub

@attribute age {Adult,Child,Senior}
@attribute workclass {Self-emp-not-inc,Private,State-gov,Federal-gov,Local-gov,Self-emp-inc,Without-pay,Never-worked}
@attribute education {Bachelors,HS-grad,11th,Masters,9th,Some-college,Assoc-acdm,Assoc-voc,7th-8th,Doctorate,Prof-school,5th-6th,10th,1st-4th,Preschool,12th}
@attribute marital-status {Married-civ-spouse,Divorced,Married-spouse-absent,Never-married,Separated,Married-AF-spouse,Widowed}
@attribute occupation {Exec-managerial,Handlers-cleaners,Prof-specialty,Other-service,Adm-clerical,Sales,Craft-repair,Transport-moving,Farming-fishing,Machine-op-inspct,Tech-support,Protective-serv,Armed-Forces,Priv-house-serv}
@attribute relationship {Husband,Not-in-family,Wife,Own-child,Unmarried,Other-relative}
@attribute race {White,Black,Asian-Pac-Islander,Amer-Indian-Eskimo,Other}
@attribute sex {Male,Female}
@attribute native-country {United-States,Cuba,Jamaica,India,Mexico,South,Puerto-Rico,Honduras,England,Canada,Germany,Iran,Philippines,Italy,Poland,Columbia,Cambodia,Thailand,Ecuador,Laos,Taiwan,Haiti,Portugal,Dominican-Republic,El-Salvador,France,Guatemala,China,Japan,Yugoslavia,Peru,Outlying-US(Guam-USVI-etc),Scotland,Trinadad&Tobago,Greece,Nicaragua,Vietnam,Hong,Ireland,Hungary,Holand-Netherlands}
@attribute work-status {PartTime,FullTime,OverTime}
@attribute capital-gain {None,High,Low}
@attribute capital-loss {None,High,Low}
@attribute salary {<=50K,>50K}

@data
Adult,Self-emp-not-inc,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States,PartTime,None,None,<=50K
Adult,Private,HS-grad,Divorced,Handlers-cleaners,Not-in-family,White,Male,United-States,FullTime,None,None,<=50K
Adult,Private,11th,Married-civ-spouse,Handlers-cleaners,Husband,Black,Male,United-States,FullTime,None,None,<=50K
Adult,Private,Bachelors,Married-civ-spouse,Prof-specialty,Wife,Black,Female,Cuba,FullTime,None,None,<=50K
Adult,Private,Masters,Married-civ-spouse,Exec-managerial,Wife,White,Female,United-States,FullTime,None,None,<=50K
Adult,Private,9th,Married-spouse-absent,Other-service,Not-in-family,Black,Female,Jamaica,PartTime,None,None,<=50K
Adult,Self-emp-not-inc,HS-grad,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States,FullTime,None,None,>50K
Adult,Private,Masters,Never-married,Prof-specialty,Not-in-family,White,Female,United-States,FullTime,High,None,>50K
Adult,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States,FullTime,Low,None,>50K
Adult,Private,Some-college,Married-civ-spouse,Exec-managerial,Husband,Black,Male,United-States,OverTime,None,None,>50K
Adult,State-gov,Bachelors,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,India,FullTime,None,None,>50K
Adult,Private,Bachelors,Never-married,Adm-clerical,Own-child,White,Female,United-States,PartTime,None,None,<=50K
Adult,Private,Assoc-acdm,Never-married,Sales,Not-in-family,Black,Male,United-States,FullTime,None,None,<=50K
Adult,Private,Assoc-voc,Married-civ-spouse,Craft-repair,Husband,Asian-Pac-Islander,Male,?,FullTime,None,None,>50K
Adult,Private,7th-8th,Married-civ-spouse,Transport-moving,Husband,Amer-Indian-Eskimo,Male,Mexico,FullTime,None,None,<=50K
Adult,Self-emp-not-inc,HS-grad,Never-married,Farming-fishing,Own-child,White,Male,United-States,PartTime,None,None,<=50K
Adult,Private,HS-grad,Never-married,Machine-op-inspct,Unmarried,White,Male,United-States,FullTime,None,None,<=50K
Adult,Private,11th,Married-civ-spouse,Sales,Husband,White,Male,United-States,FullTime,None,None,<=50K
Adult,Self-emp-not-inc,Masters,Divorced,Exec-managerial,Unmarried,White,Female,United-States,FullTime,None,None,>50K
Adult,Private,Doctorate,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,FullTime,None,None,>50K
Adult,Private,HS-grad,Separated,Other-service,Unmarried,Black,Female,United-States,PartTime,None,None,<=50K
Adult,Federal-gov,9th,Married-civ-spouse,Farming-fishing,Husband,Black,Male,United-States,FullTime,None,None,<=50K
Adult,Private,11th,Married-civ-spouse,Transport-moving,Husband,White,Male,United-States,FullTime,None,High,<=50K
Adult,Private,HS-grad,Divorced,Tech-support,Unmarried,White,Female,United-States,FullTime,None,None,<=50K
Adult,Local-gov,Bachelors,Married-civ-spouse,Tech-support,Husband,White,Male,United-States,FullTime,None,None,>50K
Adult,Private,HS-grad,Never-married,Craft-repair,Own-child,White,Male,United-States,FullTime,None,None,<=50K
Adult,?,Some-college,Married-civ-spouse,?,Husband,Asian-Pac-Islander,Male,South,FullTime,None,None,>50K
Adult,Private,HS-grad,Divorced,Exec-managerial,Not-in-family,White,Male,United-States,OverTime,None,None,<=50K
Adult,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,United-States,FullTime,None,None,<=50K
Adult,Local-gov,Assoc-acdm,Never-married,Protective-serv,Not-in-family,White,Male,United-States,FullTime,None,None,<=50K
Adult,Private,Some-college,Never-married,Sales,Own-child,Black,Male,United-States,FullTime,None,None,<=50K
Adult,Private,Bachelors,Divorced,Exec-managerial,Own-child,White,Male,United-States,FullTime,None,Low,<=50K
Adult,Federal-gov,Some-college,Married-civ-spouse,Adm-clerical,Own-child,White,Male,United-States,FullTime,None,None,<=50K
Adult,State-gov,Some-college,Married-civ-spouse,Other-service,Husband,Black,Male,United-States,PartTime,None,None,<=50K
Adult,Private,11th,Never-married,Machine-op-inspct,Unmarried,White,Male,Puerto-Rico,FullTime,None,None,<=50K
Adult,Private,Some-college,Never-married,Machine-op-inspct,Own-child,White,Male,United-States,FullTime,None,None,<=50K
Adult,Private,HS-grad,Married-AF-spouse,Adm-clerical,Wife,White,Female,United-States,PartTime,None,None,<=50K
Adult,Private,Some-college,Married-civ-spouse,Sales,Husband,White,Male,?,PartTime,None,None,>50K
Adult,Self-emp-not-inc,Assoc-acdm,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,FullTime,None,None,<=50K
Adult,Private,9th,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,United-States,FullTime,None,None,<=50K
Adult,Self-emp-not-inc,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,FullTime,None,None,<=50K
Adult,Private,Bachelors,Married-civ-spouse,Tech-support,Husband,White,Male,United-States,FullTime,None,None,<=50K
Adult,Private,HS-grad,Separated,Adm-clerical,Unmarried,White,Female,United-States,FullTime,None,None,<=50K
Adult,Private,HS-grad,Never-married,Handlers-cleaners,Not-in-family,White,Male,United-States,PartTime,None,None,<=50K
Adult,Federal-gov,Bachelors,Married-civ-spouse,Prof-specialty,Husband,Black,Male,United-States,FullTime,None,None,>50K
Adult,Private,HS-grad,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,United-States,PartTime,None,None,<=50K
Adult,Private,Masters,Divorced,Exec-managerial,Unmarried,White,Female,United-States,FullTime,None,None,<=50K
Adult,State-gov,Assoc-voc,Married-civ-spouse,Craft-repair,Husband,White,Male,United-States,FullTime,None,None,<=50K
Adult,Private,Assoc-voc,Never-married,Prof-specialty,Not-in-family,White,Male,United-States,FullTime,None,None,<=50K
Adult,Private,Some-college,Married-civ-spouse,Exec-managerial,Wife,Other,Female,United-States,FullTime,None,None,<=50K
Child,Private,HS-grad,Never-married,Other-service,Own-child,White,Female,?,PartTime,None,None,<=50K
Adult,Private,Prof-school,Married-civ-spouse,Prof-specialty,Wife,White,Female,Honduras,FullTime,None,High,>50K
Adult,Federal-gov,Bachelors,Divorced,Exec-managerial,Not-in-family,White,Male,United-States,FullTime,None,None,>50K
Adult,Self-emp-inc,HS-grad,Divorced,Exec-managerial,Not-in-family,White,Male,United-States,FullTime,None,None,<=50K
Adult,Private,Some-college,Married-civ-spouse,Tech-support,Husband,White,Male,United-States,FullTime,None,None,>50K
Adult,Private,5th-6th,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,Mexico,FullTime,None,None,<=50K
Adult,Private,Assoc-voc,Married-civ-spouse,Other-service,Husband,White,Male,Puerto-Rico,FullTime,None,None,<=50K
Adult,Private,HS-grad,Married-civ-spouse,Adm-clerical,Husband,White,Male,United-States,FullTime,None,None,<=50K
Adult,Private,HS-grad,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,United-States,FullTime,Low,None,<=50K
Adult,Private,Bachelors,Married-civ-spouse,Sales,Husband,White,Male,United-States,FullTime,Low,None,<=50K
Adult,?,7th-8th,Married-spouse-absent,?,Not-in-family,White,Male,?,FullTime,None,None,<=50K
Adult,Private,HS-grad,Married-civ-spouse,Transport-moving,Husband,White,Male,United-States,FullTime,None,None,<=50K
Adult,Private,Doctorate,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,FullTime,None,None,>50K
Adult,Private,Some-college,Divorced,Tech-support,Not-in-family,White,Male,United-States,FullTime,None,None,<=50K
Adult,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,United-States,FullTime,None,None,<=50K
Adult,Private,Some-college,Divorced,Adm-clerical,Not-in-family,White,Female,United-States,FullTime,None,None,<=50K
Adult,Private,HS-grad,Married-civ-spouse,Adm-clerical,Wife,White,Female,United-States,FullTime,None,None,>50K
Adult,Self-emp-inc,Some-college,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States,FullTime,None,None,>50K
Adult,?,Some-college,Never-married,?,Own-child,White,Male,United-States,FullTime,None,None,<=50K
Adult,Private,Some-college,Never-married,Prof-specialty,Own-child,White,Male,United-States,PartTime,None,None,<=50K
Adult,Private,Bachelors,Separated,Sales,Own-child,Black,Female,United-States,FullTime,None,None,<=50K
Adult,Self-emp-not-inc,Bachelors,Married-civ-spouse,Sales,Husband,White,Male,United-States,OverTime,None,None,>50K
Adult,Private,Some-college,Never-married,Machine-op-inspct,Not-in-family,White,Male,United-States,FullTime,None,None,<=50K
Senior,Private,Some-college,Married-civ-spouse,Prof-specialty,Other-relative,White,Male,United-States,PartTime,None,None,<=50K
Adult,Private,HS-grad,Never-married,Other-service,Own-child,White,Male,Mexico,FullTime,None,None,<=50K
Adult,Private,Assoc-acdm,Married-civ-spouse,Adm-clerical,Husband,White,Male,United-States,FullTime,None,None,<=50K
Senior,?,10th,Married-civ-spouse,?,Husband,White,Male,United-States,PartTime,None,None,<=50K
Child,Private,11th,Never-married,Other-service,Own-child,White,Female,United-States,PartTime,None,None,<=50K
Adult,Local-gov,7th-8th,Married-civ-spouse,Farming-fishing,Husband,White,Male,United-States,FullTime,None,None,<=50K
Child,Private,HS-grad,Never-married,Sales,Not-in-family,White,Male,United-States,PartTime,None,None,<=50K
Adult,Private,Bachelors,Married-civ-spouse,Other-service,Husband,White,Male,Cuba,FullTime,None,None,<=50K
Adult,Private,HS-grad,Married-civ-spouse,Other-service,Wife,White,Female,United-States,FullTime,None,None,<=50K
Adult,Private,HS-grad,Married-civ-spouse,Sales,Husband,White,Male,United-States,FullTime,None,None,<=50K
Adult,Private,HS-grad,Divorced,Craft-repair,Not-in-family,White,Female,United-States,FullTime,High,None,>50K
Adult,Private,HS-grad,Divorced,Sales,Own-child,White,Female,United-States,PartTime,None,None,<=50K
Adult,Local-gov,HS-grad,Married-civ-spouse,Protective-serv,Husband,White,Male,United-States,FullTime,None,None,>50K
Adult,Private,Masters,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,FullTime,None,None,<=50K
Adult,Private,9th,Never-married,Sales,Not-in-family,White,Male,United-States,FullTime,None,None,<=50K
Adult,Federal-gov,Doctorate,Never-married,Prof-specialty,Not-in-family,White,Female,United-States,FullTime,None,None,>50K
Adult,Private,Assoc-voc,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,FullTime,None,None,<=50K
Adult,Private,Some-college,Divorced,Craft-repair,Unmarried,White,Female,United-States,FullTime,None,None,<=50K
Adult,Private,Some-college,Divorced,Machine-op-inspct,Unmarried,Black,Female,United-States,PartTime,None,None,<=50K
Adult,Private,HS-grad,Married-civ-spouse,Sales,Wife,Asian-Pac-Islander,Female,?,PartTime,None,Low,<=50K
Adult,Local-gov,Bachelors,Married-civ-spouse,Protective-serv,Husband,White,Male,United-States,FullTime,None,None,>50K
Adult,Local-gov,Some-college,Never-married,Handlers-cleaners,Not-in-family,White,Male,United-States,FullTime,None,None,<=50K
Adult,Self-emp-not-inc,Doctorate,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,FullTime,None,High,>50K
Adult,Private,Some-college,Married-civ-spouse,Sales,Husband,White,Male,United-States,FullTime,None,None,>50K
Adult,Private,Assoc-acdm,Divorced,Exec-managerial,Unmarried,White,Female,England,FullTime,None,None,<=50K
Adult,Federal-gov,HS-grad,Never-married,Other-service,Own-child,Black,Male,United-States,FullTime,None,None,<=50K
Senior,Private,Masters,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States,FullTime,None,None,>50K
Adult,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States,FullTime,High,None,>50K
Adult,Self-emp-not-inc,Masters,Never-married,Prof-specialty,Not-in-family,White,Female,United-States,FullTime,None,None,<=50K
Adult,Private,Some-college,Never-married,Tech-support,Own-child,White,Female,United-States,FullTime,None,None,<=50K
Adult,Private,HS-grad,Never-married,Craft-repair,Not-in-family,White,Male,United-States,FullTime,None,None,<=50K
Adult,Self-emp-inc,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,United-States,FullTime,Low,None,>50K
Child,?,10th,Never-married,?,Own-child,White,Female,United-States,PartTime,High,None,<=50K
Adult,Private,11th,Never-married,Handlers-cleaners,Own-child,White,Male,United-States,FullTime,None,None,<=50K
