age,workclass,education,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
Adult,State-gov,Bachelors,Never-married,Adm-clerical,Not-in-family,White,Male,Low,None,FullTime,United-States,<=50K
Adult,Self-emp-not-inc,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,None,None,PartTime,United-States,<=50K
Adult,Private,HS-grad,Divorced,Handlers-cleaners,Not-in-family,White,Male,None,None,FullTime,United-States,<=50K
Adult,Private,11th,Married-civ-spouse,Handlers-cleaners,Husband,Black,Male,None,None,FullTime,United-States,<=50K
Adult,Private,Bachelors,Married-civ-spouse,Prof-specialty,Wife,Black,Female,None,None,FullTime,Cuba,<=50K
Adult,Private,Masters,Married-civ-spouse,Exec-managerial,Wife,White,Female,None,None,FullTime,United-States,<=50K
Adult,Private,9th,Married-spouse-absent,Other-service,Not-in-family,Black,Female,None,None,PartTime,Jamaica,<=50K
Adult,Self-emp-not-inc,HS-grad,Married-civ-spouse,Exec-managerial,Husband,White,Male,None,None,FullTime,United-States,>50K
Adult,Private,Masters,Never-married,Prof-specialty,Not-in-family,White,Female,High,None,FullTime,United-States,>50K
Adult,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,Low,None,FullTime,United-States,>50K
Adult,Private,Some-college,Married-civ-spouse,Exec-managerial,Husband,Black,Male,None,None,OverTime,United-States,>50K
Adult,State-gov,Bachelors,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,None,None,FullTime,India,>50K
Adult,Private,Bachelors,Never-married,Adm-clerical,Own-child,White,Female,None,None,PartTime,United-States,<=50K
Adult,Private,Assoc-acdm,Never-married,Sales,Not-in-family,Black,Male,None,None,FullTime,United-States,<=50K
Adult,Private,Assoc-voc,Married-civ-spouse,Craft-repair,Husband,Asian-Pac-Islander,Male,None,None,FullTime,United-States,>50K
Adult,Private,7th-8th,Married-civ-spouse,Transport-moving,Husband,Amer-Indian-Eskimo,Male,None,None,FullTime,Mexico,<=50K
Adult,Self-emp-not-inc,HS-grad,Never-married,Farming-fishing,Own-child,White,Male,None,None,PartTime,United-States,<=50K
Adult,Private,HS-grad,Never-married,Machine-op-inspct,Unmarried,White,Male,None,None,FullTime,United-States,<=50K
Adult,Private,11th,Married-civ-spouse,Sales,Husband,White,Male,None,None,FullTime,United-States,<=50K
Adult,Self-emp-not-inc,Masters,Divorced,Exec-managerial,Unmarried,White,Female,None,None,FullTime,United-States,>50K
Adult,Private,Doctorate,Married-civ-spouse,Prof-specialty,Husband,White,Male,None,None,OverTime,United-States,>50K
Adult,Private,HS-grad,Separated,Other-service,Unmarried,Black,Female,None,None,PartTime,United-States,<=50K
